season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2021,4426444,Connor Bazelak,QB,Missouri,SEC,362,0.312,0.327,0.035,0.24,0.192,0.541,0.329,0.292,113.004,112.372,0.632,30.221,23.413,57.326,64.164,48.84
2021,4613059,Devontae Houston,RB,Connecticut,FBS Independents,15,0.314,0.543,-0.316,0.323,0.295,,0.215,0.957,4.707,5.971,-1.265,3.233,1.474,,2.792,1.914
2021,4373854,Jared Wilson,RB,South Alabama,Sun Belt,5,0.315,0.691,0.221,0.303,0.333,,0.303,0.333,1.574,0.691,0.883,0.908,0.666,,0.908,0.666
2021,4428943,Jacardia Wright,RB,Kansas State,Big 12,1,0.316,,0.316,,0.316,,,0.316,0.316,,0.316,,0.316,,,0.316
2021,4249917,Calvin Turner Jr.,RB,Hawai'i,Mountain West,143,0.316,0.468,0.118,0.098,0.5,0.456,0.24,0.471,45.172,37.872,7.3,5.999,24.509,14.139,23.042,22.13
2021,4430703,Chris Scott,WR,Cincinnati,American Athletic,1,0.317,0.317,,,0.317,,,0.317,0.317,0.317,,,0.317,,,0.317
2021,4430100,Larry McCammon III,RB,Florida Atlantic,Conference USA,22,0.317,1.341,0.089,-0.121,0.114,1.758,0.183,0.509,6.966,5.365,1.601,-1.091,1.024,7.033,2.383,4.583
2021,4566196,Will Rogers,QB,Mississippi State,SEC,723,0.317,0.331,-0.015,0.165,0.341,0.628,0.204,0.536,229.319,229.748,-0.43,53.228,86.27,85.34,97.517,131.802
2021,4569560,Jordan Wilmore,RB,Fresno State,Mountain West,16,0.317,0.181,0.336,-0.229,0.822,0.985,-0.066,1.465,5.07,0.362,4.708,-1.832,4.933,1.969,-0.79,5.859
2021,4430431,Kurtis Rourke,QB,Ohio,Mid-American,277,0.317,0.255,0.626,0.166,0.334,0.307,0.278,0.384,87.705,58.914,28.792,20.772,28.722,18.707,48.918,38.787
2021,4876006,Zaire Mitchell-Paden,TE,Florida Atlantic,Conference USA,6,0.318,0.318,,-0.072,0.298,1.531,0.329,0.298,1.911,1.911,,-0.216,0.596,1.531,1.315,0.596
2021,4039599,Devaughn Cooper,WR,Syracuse,ACC,29,0.319,0.27,1.707,0.225,0.246,0.226,0.507,0.088,9.255,7.548,1.707,2.7,2.212,1.58,8.111,1.143
2021,4361111,Trey Lowe,RB,Oregon State,Pac-12,73,0.319,0.388,0.284,0.128,0.223,0.724,0.144,0.555,23.252,9.322,13.93,3.062,5.796,15.923,6.047,17.205
2021,4243261,Bryan Thompson,WR,Arizona State,Pac-12,20,0.319,0.307,0.388,-0.129,0.822,-0.06,0.303,0.382,6.374,5.211,1.163,-0.906,5.753,-0.299,4.844,1.53
2021,4242408,Chase Garbers,QB,California,Pac-12,405,0.319,0.256,0.601,0.272,0.282,0.62,0.265,0.41,129.328,84.822,44.506,40.248,34.651,68.832,66.963,62.365
